stream,next_stream,drainage_area_km2,length_km,area_sqkm,centroid_lon,centroid_lat,l1,vo
420558772,420558773,0.112,0.33,0.112,-74.79066176470589,40.31169117647059,0.4352054237158972,1.6696536438062437
420557886,420558773,0.086,0.21,0.086,-74.7884294871795,40.31451923076923,0.4349279560034917,1.719903379392949
420553620,420553417,0.761,1.358,0.761,-74.79696120689657,40.32966235632185,0.4482819568987789,1.1510884603902949
420553824,420553417,0.053,0.117,0.053,-74.78989583333338,40.33020833333335,0.4394679757225635,1.7334054772783096
420553417,420551946,0.8410000000000001,0.234,0.027,-74.79062499999998,40.33312499999998,0.4529096442018209,1.144380384934
420552578,420551946,0.23,0.517,0.23,-74.79313095238096,40.33510714285714,0.4406151649490594,1.444742695700408
420551525,420551526,5.19,1.058,0.413,-74.79431878306879,40.339212962962975,0.4671506353611359,0.922994197975358
420551526,420551143,5.585999999999999,0.071,0.014,-74.78833333333333,40.34125,0.4719247244206028,0.8805385770159955
420550514,420551526,0.382,0.375,0.158,-74.79049242424242,40.34367424242424,0.442947957731638,1.162619686217771
420550311,420551143,0.151,0.419,0.151,-74.78653985507246,40.34440217391305,0.4432364247985522,1.489458692977037
420550722,420550514,0.112,0.375,0.112,-74.79404411764708,40.34257352941179,0.4373956965791429,1.621771689476334
420550310,420550514,0.112,0.304,0.112,-74.7950277777778,40.34547222222222,0.444823714613583,1.6205191355714357
420549336,420549337,1.248,0.562,0.217,-74.79084595959594,40.3478914141414,0.473158356653472,1.1635209943995997
420549516,420549336,0.952,0.492,0.132,-74.7958333333333,40.34845833333332,0.463343940930267,1.151581828700115
420549714,420549337,0.092,0.21,0.092,-74.78625000000001,40.34738095238095,0.4409207050958722,1.6786118661893017
420548919,420549336,0.079,0.234,0.079,-74.79437500000002,40.3507638888889,0.4460113213313884,1.638527271241989
420549337,420548920,1.373,0.117,0.033,-74.78841666666665,40.34975,0.4713341397943585,1.1576335805629676
420548480,420548920,0.151,0.071,0.151,-74.79081349206346,40.352202380952384,0.445337320994089,1.4484191522511964
